,hora,temp_inst,umid_inst,vento_rajada,diff_wind
214,2,27.4,79,6.0,3.6
215,1,26.9,79,3.3,1.9
216,0,26.9,78,3.6,2.2
217,1,26.6,79,4.0,2.8
218,2,26.0,80,3.9,3.4
219,3,25.1,84,1.7,1.4
220,4,24.4,88,1.0,0.9
221,5,24.3,89,0.7,0.6
222,6,24.5,90,0.8,0.8
223,7,24.2,90,1.1,1.0
224,8,23.9,90,1.0,0.8
225,9,24.0,91,1.4,0.9999999999999999
226,10,26.1,82,2.6,1.2000000000000002
227,11,27.8,70,5.5,3.0
228,12,29.0,60,7.7,4.9
229,13,30.0,54,7.2,4.2
230,14,30.9,51,6.6,3.8999999999999995
231,15,30.4,52,6.6,3.6999999999999997
232,16,31.3,53,6.8,3.6999999999999997
233,17,30.7,58,7.1,4.199999999999999
234,18,31.0,57,7.1,4.3999999999999995
235,19,29.3,64,7.3,3.9
236,20,28.5,71,8.0,4.9
237,21,27.7,76,7.7,4.4
238,22,27.2,77,9.2,5.6
239,23,27.2,75,8.9,5.9
240,0,27.4,76,7.8,4.6
241,1,26.9,79,8.6,5.3999999999999995
242,2,26.8,75,8.4,5.9
243,3,27.2,75,7.0,4.4
244,4,26.9,70,10.0,6.3
245,5,26.9,70,8.3,5.4
246,6,26.8,70,7.3,5.199999999999999
247,7,26.7,70,7.7,4.2
248,8,23.8,79,9.6,8.5
249,9,24.1,81,2.3,1.4
250,10,25.7,77,2.1,1.4000000000000001
251,11,28.0,69,5.2,2.8000000000000003
252,12,29.5,60,7.9,5.0
253,13,30.2,55,7.9,5.0
254,14,30.2,54,7.2,4.0
255,15,30.4,55,7.5,5.2
256,16,30.2,58,6.8,3.9
257,17,29.3,60,7.7,4.300000000000001
258,18,29.7,61,7.7,5.1
259,19,29.3,63,6.7,4.1
260,20,27.7,74,9.9,6.6000000000000005
261,21,27.5,73,9.2,5.799999999999999
262,22,27.1,75,9.1,4.8
263,23,25.5,86,9.1,5.3999999999999995
264,0,24.9,88,7.8,4.5
265,1,24.4,91,7.3,4.1
266,2,24.6,91,9.4,6.9
267,3,24.2,91,8.8,5.500000000000001
268,4,24.3,91,8.8,6.9
269,5,23.4,91,7.1,5.5
270,6,22.3,92,11.9,8.7
271,7,22.2,93,7.0,6.5
272,8,22.7,93,2.6,1.6
273,9,22.2,93,5.8,5.1
274,10,22.3,93,3.0,2.3
275,11,22.7,93,4.0,3.0
276,12,23.8,91,3.3,1.7999999999999998
277,13,24.3,90,3.1,2.0
278,14,26.9,78,5.7,3.6
279,15,27.1,72,7.9,5.1000000000000005
280,16,26.9,76,7.9,5.2
281,17,27.2,73,7.7,5.1
282,18,27.1,76,7.3,4.199999999999999
283,19,26.5,80,7.3,5.3
284,20,26.3,78,6.2,4.1
285,21,26.0,81,4.4,3.1000000000000005
286,22,26.1,83,4.4,2.6000000000000005
287,23,26.0,82,4.7,3.5
288,0,26.0,83,4.3,2.8
289,1,25.6,84,3.7,2.5
290,2,25.1,88,3.7,2.9000000000000004
291,3,23.8,91,6.6,5.5
292,4,23.9,92,5.7,4.8
293,5,23.6,91,5.9,4.9
294,6,23.8,92,3.3,1.9
295,7,23.8,92,3.6,2.4000000000000004
296,8,23.9,92,2.5,2.2
297,9,24.0,92,5.0,3.4
298,10,24.4,92,4.1,3.1999999999999997
299,11,24.6,92,4.8,3.1999999999999997
300,12,26.3,88,4.8,2.9
301,13,27.7,74,6.4,4.1000000000000005
302,14,26.1,86,7.4,6.1000000000000005
303,15,28.1,77,6.0,3.4
304,16,28.2,73,7.6,4.6
305,17,25.0,90,7.9,7.5
306,18,28.5,74,6.1,3.3999999999999995
307,19,27.8,78,6.2,3.3000000000000003
308,20,26.7,82,7.0,4.5
309,21,26.4,84,6.7,4.800000000000001
310,22,24.3,91,7.1,4.5
311,23,23.6,92,7.2,6.7
312,0,24.1,92,6.0,3.6
313,1,23.6,92,6.5,4.8
314,2,23.6,92,6.3,4.1
315,3,23.8,93,5.3,4.3
316,4,23.7,93,7.9,6.5
317,5,23.5,93,4.3,2.8
318,6,23.1,93,3.0,2.9
319,7,23.4,93,3.0,1.6
320,8,23.5,93,3.5,2.4
321,9,23.6,92,4.0,2.3
322,10,23.8,92,5.0,3.2
323,11,23.7,91,5.5,4.1
324,12,24.4,91,4.0,3.0
325,13,25.9,82,4.7,2.3000000000000003
326,14,27.0,75,7.3,4.199999999999999
327,15,27.5,74,8.8,5.000000000000001
328,16,28.6,69,8.0,4.3
329,17,28.4,66,9.3,5.000000000000001
330,18,29.2,66,10.8,7.200000000000001
331,19,27.9,70,8.6,5.3
332,20,26.7,77,7.9,5.2
333,21,26.1,80,6.6,4.3999999999999995
334,22,25.6,82,5.0,3.2
335,23,25.3,83,4.3,3.3
336,0,25.3,81,3.9,2.9
337,1,25.5,79,4.9,3.6000000000000005
338,2,26.3,77,6.5,4.4
339,3,26.4,77,5.7,3.5
340,4,26.3,75,6.0,4.2
341,5,26.0,77,5.1,3.5999999999999996
342,6,25.2,78,5.5,3.5
343,7,24.1,82,4.6,3.6999999999999997
344,8,23.9,83,3.8,2.6999999999999997
345,9,24.4,82,4.2,2.8000000000000003
346,10,25.2,77,3.6,1.5
347,11,27.3,69,5.4,3.1000000000000005
348,12,28.5,61,7.4,4.0
349,13,30.0,57,8.1,4.8
350,14,31.3,53,10.3,7.000000000000001
351,15,30.5,57,10.0,5.9
352,16,30.2,58,9.0,5.3
353,17,29.9,57,9.4,5.1000000000000005
354,18,29.4,60,9.5,5.3
355,19,28.7,66,8.8,5.1000000000000005
356,20,27.8,70,7.5,4.2
357,21,27.0,76,7.7,5.0
358,22,26.7,78,6.2,4.2
359,23,26.5,81,5.4,3.8000000000000003
360,0,25.4,87,6.9,4.7
361,1,25.3,87,5.0,4.1
362,2,24.8,88,5.6,3.6999999999999997
363,3,25.2,88,6.8,4.8
364,4,24.3,90,7.8,7.2
365,5,24.4,91,7.2,4.5
366,6,24.3,91,8.1,6.699999999999999
367,7,24.3,91,3.8,3.3
368,8,24.1,91,3.4,2.4
369,9,23.9,89,3.9,2.8
370,10,25.2,81,4.0,2.2
371,11,26.5,73,6.3,3.4
372,12,28.1,67,6.2,3.9000000000000004
373,13,29.1,63,7.3,4.6
374,14,29.6,59,8.5,5.2
375,15,28.6,67,7.9,4.7
376,16,26.9,76,8.2,5.199999999999999
377,17,28.4,67,5.7,3.7
378,18,28.1,68,6.8,5.0
379,19,28.1,68,5.7,4.2
380,20,27.5,72,4.6,2.6999999999999997
381,21,27.0,75,4.4,2.5000000000000004
382,22,26.0,80,4.5,4.1
383,23,25.9,79,5.3,4.3
384,23,25.4,85,1.5,0.8
385,0,25.3,83,4.9,2.4000000000000004
386,1,23.9,88,5.9,5.4
387,2,23.6,89,5.0,3.6
388,3,23.4,90,3.3,3.0
389,4,23.6,91,3.1,2.0
390,5,23.5,91,4.6,3.1999999999999997
391,6,23.3,92,3.5,2.6
392,7,23.4,92,4.7,3.2
393,8,23.1,92,4.0,3.6
394,9,23.3,92,2.2,1.0000000000000002
395,10,23.8,92,2.4,2.1999999999999997
396,11,24.9,90,2.8,1.2999999999999998
397,12,26.9,78,4.2,2.4000000000000004
398,13,27.8,71,6.8,3.9
399,14,28.3,67,6.8,4.199999999999999
400,15,27.8,68,6.7,5.1
401,16,27.5,71,4.8,2.9
402,17,25.9,86,6.5,6.3
403,18,28.0,72,3.8,2.5999999999999996
404,19,27.7,72,3.9,2.7
405,20,27.2,72,5.2,2.7
406,21,26.0,80,5.2,4.1
407,22,25.4,83,2.7,2.4000000000000004
408,23,26.4,80,4.4,2.9000000000000004
409,0,25.4,86,1.3,1.2
410,1,25.2,87,1.1,1.1
411,2,24.9,89,1.5,0.6
412,3,24.6,90,2.2,1.0000000000000002
413,4,24.5,90,2.5,2.0
414,5,24.2,91,1.6,0.9000000000000001
415,6,24.2,91,2.6,1.5
416,7,24.0,91,4.0,2.5
417,8,23.7,91,3.2,1.9000000000000001
418,9,23.8,91,3.1,1.8
419,10,25.0,89,3.6,1.8
420,11,25.8,83,4.9,2.7
421,12,26.0,84,4.9,3.3000000000000003
422,13,29.4,70,4.9,3.3000000000000003
423,14,29.3,70,5.8,3.5999999999999996
424,15,29.9,60,7.2,3.8000000000000003
425,16,30.2,60,7.1,3.8
426,17,30.5,61,7.9,5.1000000000000005
427,18,30.0,63,7.7,5.0
428,19,29.1,68,7.0,4.1
429,20,27.8,73,6.4,3.8000000000000003
430,21,26.5,80,5.5,3.7
431,22,26.4,82,4.4,3.3000000000000003
432,11,26.7,74,5.2,2.9000000000000004
433,0,25.7,82,4.4,3.6000000000000005
434,1,24.9,87,2.6,2.3000000000000003
435,2,24.9,89,1.4,1.4
436,3,24.8,89,1.2,1.0999999999999999
437,4,25.2,89,5.2,4.7
438,5,25.6,84,3.2,2.0
439,6,24.5,88,3.2,2.9000000000000004
440,7,24.5,90,2.3,2.0999999999999996
441,8,24.1,90,3.9,2.3
442,9,23.7,90,4.3,3.3
443,10,25.2,83,4.0,2.2
444,12,28.4,70,7.6,5.0
445,13,29.6,64,8.2,4.799999999999999
446,14,29.6,60,8.2,5.199999999999999
447,15,30.4,55,7.5,4.6
448,16,30.4,60,6.6,3.8999999999999995
449,17,30.9,60,6.1,3.6999999999999997
450,18,30.9,59,5.5,3.5
451,19,29.6,63,5.0,2.5
452,20,28.7,67,5.4,4.1000000000000005
453,21,26.9,77,4.3,3.4
454,22,26.1,80,3.5,2.3
455,23,25.2,85,2.5,2.5
456,11,26.1,67,7.5,4.4
457,0,24.7,88,1.3,1.3
458,1,24.5,90,1.1,1.0
459,2,24.2,91,0.9,0.9
460,3,24.5,91,1.4,0.7
