,Unnamed: 0,i,j,rmse,r2
64,64,120.0,150.0,28.297152598277613,-0.00035968675990871724
65,65,120.0,180.0,28.407160053931023,-0.008152762888115728
66,66,120.0,210.0,28.462376031506118,-0.012075734444679577
67,67,120.0,240.0,28.47937185667573,-0.013284783041556114
68,68,120.0,270.0,28.481628618596854,-0.013445378796837382
69,69,120.0,300.0,28.481695181933947,-0.01345011577210653
70,70,120.0,330.0,28.48179917174088,-0.013457516221665466
71,71,120.0,360.0,28.306168945275783,-0.0009972793224459764
72,72,120.0,390.0,28.368702070609608,-0.005424909954477197
73,73,120.0,420.0,28.375772987142202,-0.005926177978375691
74,74,120.0,450.0,28.38086382700262,-0.006287152705706457
75,75,120.0,480.0,28.385189598895412,-0.006593929866860915
76,76,120.0,510.0,28.482103565069217,-0.013479178571933035
77,77,120.0,540.0,28.482111733567052,-0.0134797598916121
78,78,120.0,570.0,28.48207961491315,-0.013477474135022538
79,79,120.0,600.0,28.48220716031548,-0.01348655104818164
80,80,150.0,30.0,80.87201135836455,-7.170849237581417
81,81,150.0,60.0,50.44712069318994,-2.1793875951086688
82,82,150.0,90.0,33.48223762439581,-0.40055335039440143
83,83,150.0,120.0,28.82497296254591,-0.038026702177877736
84,84,150.0,150.0,28.297111331466716,-0.0003567690370898102
85,85,150.0,180.0,28.403212568621804,-0.007872594669666055
86,86,150.0,210.0,28.460842603827786,-0.011966685000875277
87,87,150.0,240.0,28.47901226696557,-0.013259195083860307
88,88,150.0,270.0,28.480908229499946,-0.013394113064947977
89,89,150.0,300.0,28.47975166057177,-0.013311809766480607
90,90,150.0,330.0,28.288334152799877,0.00026371467619734634
91,91,150.0,360.0,28.481844551590164,-0.013460745693630871
92,92,150.0,390.0,28.366888056379928,-0.005296331863276604
93,93,150.0,420.0,28.481890748613306,-0.01346403332532975
94,94,150.0,450.0,28.38322967202173,-0.006454929042015056
95,95,150.0,480.0,28.37176079430436,-0.005641732196017602
96,96,150.0,510.0,28.48211601620464,-0.013480064670055691
97,97,150.0,540.0,28.378567772473488,-0.0061243390064760215
98,98,150.0,570.0,28.368387658930374,-0.005402623733434586
99,99,150.0,600.0,28.360350411452824,-0.004833009055084547
100,100,180.0,30.0,81.54418767122516,-7.307239465446926
101,101,180.0,60.0,51.02516284256012,-2.2526662770866226
102,102,180.0,90.0,34.028246865979774,-0.44660465377501296
103,103,180.0,120.0,28.811034866843553,-0.037023085101675964
104,104,180.0,150.0,28.29539138347789,-0.00023516585975591475
105,105,180.0,180.0,28.399409885692624,-0.007602740452183009
106,106,180.0,210.0,28.464900003801016,-0.01225523909126358
107,107,180.0,240.0,28.478753753155427,-0.01324079976144765
108,108,180.0,270.0,28.48158771201509,-0.013442467688274506
109,109,180.0,300.0,28.4811235084972,-0.013409433032362195
110,110,180.0,330.0,28.481795531973304,-0.013457257196626271
111,111,180.0,360.0,28.481883056456763,-0.013463485909217754
112,112,180.0,390.0,28.481913627710398,-0.013465661528424544
113,113,180.0,420.0,28.35322090997992,-0.004327863114269803
114,114,180.0,450.0,28.482021382620825,-0.0134733299814358
115,115,180.0,480.0,28.36631088938812,-0.00525542374844723
116,116,180.0,510.0,28.36691439438132,-0.005298198653064246
117,117,180.0,540.0,28.482088560990597,-0.013478110791441232
118,118,180.0,570.0,28.37606379684803,-0.005946796595183157
119,119,180.0,600.0,28.369599112849933,-0.005488495723823261
120,120,210.0,30.0,80.96162981632264,-7.188968352552255
121,121,210.0,60.0,50.05510551010437,-2.130166725989667
122,122,210.0,90.0,33.76764883650425,-0.42453247329757104
123,123,210.0,120.0,28.77720625924821,-0.03458926404041773
124,124,210.0,150.0,28.29986694009569,-0.0005516105481344624
125,125,210.0,180.0,28.408739824896504,-0.008264896219682072
126,126,210.0,210.0,28.459719875563692,-0.011886846100418902
127,127,210.0,240.0,28.47852213478048,-0.013224318405896662
128,128,210.0,270.0,28.48162464780735,-0.013445096216227359
129,129,210.0,300.0,28.481135156875105,-0.013410261972867987
130,130,210.0,330.0,28.234676342614407,0.004052752477067489
131,131,210.0,360.0,28.48184880282652,-0.013461048234534312
132,132,210.0,390.0,28.481918227228103,-0.013465988855702271
133,133,210.0,420.0,28.481902714456663,-0.013464884880763915
134,134,210.0,450.0,28.36819011926355,-0.005388621795065164
135,135,210.0,480.0,28.355298102500186,-0.0044750251421707965
136,136,210.0,510.0,28.48202351047976,-0.013473481412285436
137,137,210.0,540.0,28.48212471866591,-0.013480683990077845
138,138,210.0,570.0,28.343825521926387,-0.0036623664761235024
139,139,210.0,600.0,28.35762685863467,-0.00464002241526873
140,140,240.0,30.0,81.38128970574078,-7.274082454656918
141,141,240.0,60.0,49.98669818726922,-2.121616948429824
142,142,240.0,90.0,33.680515087150766,-0.4171902558561362
143,143,240.0,120.0,28.793337335054282,-0.03574946807271995
144,144,240.0,150.0,28.293359135185113,-9.14920591135182e-05
145,145,240.0,180.0,28.404604270579373,-0.007971364667838321
146,146,240.0,210.0,28.461522223117356,-0.01201501528403348
147,147,240.0,240.0,28.47888159056313,-0.01324989639320795
148,148,240.0,270.0,28.48160870468287,-0.01344396162668038
149,149,240.0,300.0,28.481788972056574,-0.013456790358470585
150,150,240.0,330.0,28.48191999898941,-0.013466114944111762
151,151,240.0,360.0,28.222904970488734,0.004883023853875179
152,152,240.0,390.0,28.481932891043392,-0.013467032414760991
153,153,240.0,420.0,28.482017020328534,-0.013473019535312549
154,154,240.0,450.0,28.340879355943127,-0.00345372828493562
155,155,240.0,480.0,28.481997924902352,-0.013471660594143842
156,156,240.0,510.0,28.35479501047669,-0.004439381793396313
157,157,240.0,540.0,28.348783489542278,-0.004013523078052472
158,158,240.0,570.0,28.482139948787275,-0.013481767858510851
159,159,240.0,600.0,28.482142220869694,-0.013481929553819327
160,160,270.0,30.0,81.07014384927703,-7.210934646891879
161,161,270.0,60.0,49.62950326297428,-2.0771634480108117
162,162,270.0,90.0,33.603783396607106,-0.4107402634457023
