,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_rajada,radiacao,precipitacao,vento_vel,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind
98,2,26.3,82,22.9,1012.3,3.1,-3.53,0.0,104,0.1999999999999993,1,0.3000000000000007,0.10000000000002274,1.8
99,3,26.4,80,22.7,1012.1,3.8,-3.4,0.0,102,0.3000000000000007,2,0.1999999999999993,0.2999999999999545,2.5999999999999996
100,4,26.8,78,22.7,1011.7,4.4,-2.86,0.0,110,0.5,2,0.29999999999999716,0.39999999999997726,2.9000000000000004
101,5,26.7,77,22.4,1011.0,4.7,-3.4,0.0,133,0.29999999999999716,2,0.5,0.7000000000000455,3.0
102,6,26.6,79,22.5,1010.6,5.0,-3.1,0.0,147,0.3999999999999986,2,0.3000000000000007,0.39999999999997726,3.7
103,7,25.2,85,22.5,1010.5,3.3,-3.09,0.0,177,1.4000000000000021,6,0.3000000000000007,0.3000000000000682,2.9
104,8,24.9,87,22.6,1010.6,2.6,-3.42,0.0,174,0.5,3,0.3000000000000007,0.20000000000004547,1.2000000000000002
105,9,24.4,87,22.2,1010.6,3.4,4.755,0.0,173,0.5,1,0.5,0.2999999999999545,1.7
106,10,25.6,82,22.3,1011.3,4.5,219.3,0.0,170,1.4000000000000021,5,0.40000000000000213,0.6999999999999318,2.4
107,11,28.1,75,23.2,1011.9,5.9,912.9,0.0,151,2.5,8,0.8999999999999986,0.6000000000000227,3.7
108,12,29.5,66,22.5,1012.1,6.6,1203.0,0.0,145,2.1000000000000014,9,1.1000000000000014,0.3000000000000682,3.4999999999999996
109,13,29.3,59,20.5,1011.9,9.9,1695.0,0.0,141,1.8000000000000007,14,2.8999999999999986,0.3000000000000682,5.5
110,14,31.2,52,20.2,1011.7,10.3,2272.0,0.0,133,2.6000000000000014,11,2.0,0.2999999999999545,6.6000000000000005
111,15,30.8,52,19.7,1011.0,9.3,2320.0,0.0,121,1.1999999999999993,8,2.3000000000000007,0.7000000000000455,5.700000000000001
112,16,30.3,56,20.4,1010.4,9.5,2245.0,0.0,107,0.8000000000000007,8,2.1000000000000014,0.6000000000000227,4.9
113,17,30.2,58,20.9,1009.7,9.5,2028.0,0.0,98,0.8999999999999986,5,1.1999999999999993,0.7999999999999545,5.5
114,18,29.9,60,21.4,1009.3,9.6,1716.0,0.0,96,0.5999999999999979,4,1.1999999999999993,0.39999999999997726,5.699999999999999
115,19,29.2,63,21.5,1009.3,8.2,1320.0,0.0,103,0.8000000000000007,5,0.8999999999999986,0.2999999999999545,5.199999999999999
116,20,28.1,70,22.1,1009.4,7.6,683.6,0.0,102,1.1999999999999993,7,0.6999999999999993,0.20000000000004547,4.5
117,21,27.2,76,22.5,1010.0,6.3,71.35,0.0,90,1.0999999999999979,7,0.5,0.6000000000000227,4.1
118,22,27.2,77,22.8,1010.5,5.0,-3.54,0.0,96,0.3000000000000007,1,0.3000000000000007,0.5,2.9
119,23,26.8,79,23.0,1011.0,4.1,-3.54,0.0,102,0.3999999999999986,2,0.3999999999999986,0.6000000000000227,2.3
120,0,26.9,80,23.0,1011.8,3.9,-3.54,0.0,105,0.1999999999999993,2,0.1999999999999993,0.7999999999999545,2.2
121,1,26.7,79,22.7,1011.8,4.2,-3.22,0.0,103,0.3999999999999986,1,0.3999999999999986,0.10000000000002274,2.9000000000000004
122,2,26.8,78,22.6,1011.8,3.3,-3.41,0.0,104,0.3999999999999986,1,0.3000000000000007,0.1999999999999318,1.7999999999999998
123,3,27.0,78,22.9,1011.4,4.1,-3.15,0.0,117,0.3999999999999986,2,0.3999999999999986,0.39999999999997726,2.6999999999999997
124,4,27.0,76,22.4,1010.9,4.4,-2.08,0.0,109,0.3000000000000007,3,0.5,0.5,2.4000000000000004
125,5,26.9,77,22.5,1010.3,4.8,-2.47,0.0,132,0.1999999999999993,2,0.20000000000000284,0.6000000000000227,3.3
126,6,25.6,83,22.4,1009.8,4.7,-3.29,0.0,196,1.2999999999999972,7,0.3999999999999986,0.5,3.6
127,7,24.9,87,22.6,1010.1,4.2,-3.52,0.2,183,0.7000000000000028,4,0.40000000000000213,0.3000000000000682,2.8000000000000003
128,8,24.5,88,22.3,1010.4,2.9,-3.35,0.0,177,0.3999999999999986,1,0.3000000000000007,0.39999999999997726,1.5
129,9,24.2,87,22.0,1010.5,3.2,5.688,0.0,181,0.40000000000000213,1,0.5,0.3000000000000682,2.0
130,10,25.8,81,22.2,1011.1,3.4,295.1,0.0,180,1.6000000000000014,7,0.6000000000000014,0.6000000000000227,1.5999999999999999
131,11,27.5,67,20.8,1011.5,6.9,986.9,0.0,147,1.8000000000000007,15,1.5,0.39999999999997726,4.300000000000001
132,12,28.4,65,21.2,1011.4,8.0,1379.0,0.0,148,1.1999999999999993,7,1.3000000000000007,0.20000000000004547,4.8
133,13,29.0,61,20.6,1011.5,7.2,1857.0,0.0,165,1.2000000000000028,6,1.3000000000000007,0.10000000000002274,4.0
134,14,30.8,58,21.5,1010.7,6.9,2092.0,0.0,147,2.1000000000000014,8,1.4000000000000021,0.7999999999999545,4.7
135,15,31.2,51,19.9,1009.9,8.5,1718.0,0.0,170,1.6999999999999993,9,2.6000000000000014,0.8000000000000682,5.1
136,16,31.5,48,19.0,1009.1,8.5,2024.0,0.0,116,1.5999999999999979,9,2.1000000000000014,0.7999999999999545,5.2
137,17,31.2,57,21.5,1008.5,7.0,1802.0,0.0,106,1.2000000000000028,11,3.099999999999998,0.6000000000000227,4.6
138,18,30.5,57,20.9,1008.1,6.9,1722.0,0.0,98,1.0,5,1.4000000000000021,0.5,4.1000000000000005
139,19,29.7,59,20.8,1008.3,7.1,1272.0,0.0,89,1.0,5,1.0,0.1999999999999318,4.3999999999999995
140,20,28.3,64,20.8,1008.5,7.2,688.1,0.0,89,1.3999999999999986,5,1.0,0.20000000000004547,4.4
141,21,27.2,71,21.5,1008.9,7.0,74.74,0.0,100,1.1999999999999993,8,0.8000000000000007,0.39999999999997726,4.9
142,22,27.0,73,21.7,1009.4,5.5,-3.54,0.0,100,0.5,2,0.1999999999999993,0.5,4.0
143,23,26.5,77,22.2,1010.1,4.2,-3.53,0.0,114,0.6000000000000014,4,0.5999999999999979,0.7000000000000455,3.3000000000000003
144,0,26.5,79,22.5,1010.7,2.9,-3.36,0.0,138,0.40000000000000213,2,0.5,0.6000000000000227,2.2
145,1,26.6,79,22.7,1010.7,3.2,-3.34,0.0,122,0.7000000000000028,3,0.5,0.1999999999999318,2.2
146,2,26.9,77,22.6,1010.8,5.3,-3.45,0.0,121,0.5,3,0.3000000000000007,0.1999999999999318,4.0
147,3,26.9,77,22.5,1010.5,4.4,-3.53,0.0,118,0.1999999999999993,1,0.1999999999999993,0.2999999999999545,2.9000000000000004
148,4,26.8,75,22.0,1010.2,4.7,-3.54,0.0,127,0.3999999999999986,3,0.6000000000000014,0.39999999999997726,3.2
149,5,25.3,83,22.2,1009.6,4.4,-3.52,0.0,187,1.5,8,0.3000000000000007,0.6000000000000227,3.4000000000000004
150,6,24.6,87,22.3,1009.3,1.7,-3.35,0.0,174,0.6999999999999993,4,0.3999999999999986,0.3000000000000682,1.2999999999999998
151,7,24.9,87,22.6,1009.5,2.9,-3.12,0.0,170,0.3999999999999986,1,0.40000000000000213,0.20000000000004547,1.5
152,8,24.8,82,21.5,1010.1,4.2,-3.12,0.0,171,0.3000000000000007,5,1.0,0.6000000000000227,2.5
153,9,24.1,78,20.1,1010.3,4.1,5.547999999999999,0.0,171,0.6999999999999993,4,1.5,0.1999999999999318,2.8
154,10,25.3,71,19.6,1010.6,4.3,300.9,0.0,176,1.3000000000000007,8,0.8000000000000007,0.3000000000000682,2.4
155,11,26.6,64,19.3,1011.1,7.2,994.9,0.0,166,1.3999999999999986,8,0.8999999999999986,0.5,4.2
